file,section_num,section_num_str,line_num,text
"p_0008.md",45,"45",26,"45 46 47 5 50 53 53 54 55"
"p_0008.md",57,"57",27,"57 57"
"p_0008.md",59,"59",38,"59 59 083457"
"p_0010.md",24,"24",32,"24 Yin-hsü 16 (D)"
"p_0010.md",25,"25",33,"25 Rules of thumb for dating (S289.4)"
"p_0010.md",26,"26",34,"26 Period III writing style (Chia-t'u 42)"
"p_0010.md",27,"27",35,"27 Period III + IV writing style (Jimbun shakubun, plate 25)"
"p_0010.md",30,"30",38,"30 Exploded and imaginative reconstructions (Chui-hsin 312; 508; 545)"
"p_0010.md",31,"31",39,"31 Scute seams measured"
"p_0010.md",32,"32",40,"32 Plastron identification: principal component analysis (1)"
"p_0010.md",33,"33",41,"33 Plastron identification: principal component analysis (2)"
"p_0011.md",22,"22",26,"22 Calligraphy: period II"
"p_0011.md",23,"23",27,"23 Calligraphy: period III"
"p_0011.md",24,"24",28,"24 Calligraphy: period V"
"p_0011.md",25,"25",29,"25 The evolution of Shang calligraphy in periods I to V"
"p_0011.md",26,"26",30,"26 Epigraphic evolution: selected graphs"
"p_0011.md",27,"27",31,"27 Epigraphic evolution: total number of variants by period"
"p_0011.md",28,"28",32,"28 Crack notations: distribution by period"
"p_0011.md",29,"29",33,"29 Divination topics: frequency in periods I to V"
"p_0011.md",30,"30",34,"30 Scapula hollow shapes by period"
"p_0011.md",33,"33",37,"33 Number of fragments per scapula and plastron in five major collections"
"p_0011.md",34,"34",38,"34 Scapulas and plastrons: distribution in three major collections (periods I to V)"
"p_0011.md",35,"35",39,"35 Scapulas and plastrons: distribution by period in Chia-pien and Jimbun combined"
"p_0011.md",36,"36",40,"36 Number of oracle bones recovered compared with number reported in marginal notations"
"p_0011.md",37,"37",41,"37 Chronologies proposed for the P'an Keng-Ti Hsin era"
"p_0011.md",38,"38",42,"38 Revised short chronology for the historical period"
"p_0017.md",160,"160",8,"160 B.C. for WKGM 1 (table 2, sample ZK-5) accords well with the date of 1200-1181 B.C."
"p_0042.md",25,"25",24,"25 percent of the hollows were used is hard to explain, especially since the front of the"
"p_0062.md",154,"154.3",22,"154.3 235.2 (fig. 11); (4) Ching-hua 2 (S401.4;"
"p_0110.md",170,"170",73,"170 below."
"p_0149.md",13,"13.0.17714",20,"13.0.17714 came from YH127; according to Shih"
"p_0149.md",13,"13.0.17756",22,"13.0.17756 should also be included. At one point"
"p_0149.md",38,"38",47,"38 at Cambridge University); see Tung (1945),"
"p_0185.md",104,"104",43,"104 bones (S152.1). In these cases, therefore, we"
"p_0191.md",55,"55",51,"55 [S581.2] offer good evidence that this was so;"
"p_0192.md",21,"21",71,"21 years; Later Han, at 16 years; T'ang, at 12"
"p_0201.md",61,"61",26,"61 percent. Reprinted, by permission, from Bone, p. 76."
"p_0231.md",9,"9",51,"9 1"
"p_0231.md",24,"24",70,"24 X"
"p_0232.md",28,"28",17,"28 B 2"
"p_0232.md",29,"29",14,"29 8 A"
"p_0232.md",30,"30",12,"30 8 +"
"p_0232.md",31,"31",20,"31 A σ"
"p_0235.md",6,"6",277,"6 6 6 6 6 6 8"
