file	line	raw	surname	year	pages	candidate_count	candidate_key
tex/appendices/app01.tex	35	McDowell (1964)	McDowell	1964		0	
tex/appendices/app01.tex	87	Nakamura (1934)	Nakamura	1934		0	
tex/appendices/app01.tex	130	McDowell (1964)	McDowell	1964		0	
tex/appendices/app04.tex	14	Keightley (1975)	Keightley	1975		4	Keightley1975The
tex/appendices/app04.tex	28	Barnard (1975), pp. 16-17, 	Barnard	1975	16-17,	2	Barnard1975First
tex/appendices/app04.tex	61	Barnard (1975), pp. 30-31	Barnard	1975	30-31	2	Barnard1975First
tex/appendices/app04.tex	71	Barnard (1975), p. 31, 	Barnard	1975	31,	2	Barnard1975First
tex/appendices/app04.tex	72	Ch'iu (1972)	Ch'iu	1972		0	
tex/appendices/app04.tex	77	Barnard (1975)	Barnard	1975		2	Barnard1975First
tex/appendices/app04.tex	80	Barnard (1975), p. 38	Barnard	1975	38	2	Barnard1975First
tex/appendices/app04.tex	83	Barnard (1975), pp. 	Barnard	1975		2	Barnard1975First
tex/appendices/app05.tex	162	Mickel (1976), pp. 158-168	Mickel	1976	158-168	3	Mickel1976Semantic
tex/chapters/ch01.tex	98	Chardin and Young (1936), pp. 44-52, 56, 58 	Chardin and Young	1936	44-52, 56, 58	2	ChardinYoung1936Mammalian
tex/chapters/ch01.tex	105	De Chardin and Young (1936), pp. 56, 58	De Chardin and Young	1936	56, 58	2	ChardinYoung1936Mammalian
tex/chapters/ch01.tex	573	Li Daliang (1972), pp. 8–30,	Li Daliang	1972	8–30,	2	Li1972Kuei
tex/chapters/ch01.tex	607	Li Daliang (1972), pp. 27-30, 	Li Daliang	1972	27-30,	2	Li1972Kuei
tex/chapters/ch02.tex	37	Li Daliang (1972), pp. 120-126	Li Daliang	1972	120-126	2	Li1972Kuei
tex/chapters/ch02.tex	115	Zhang Zongdong (1970), pp. 23, 27, 	Zhang Zongdong	1970	23, 27,	2	Zhang1970Der
tex/chapters/ch02.tex	291	As Li Daliang (1972), pp. 104-107, 	As Li Daliang	1972	104-107,	2	Li1972Kuei
tex/chapters/ch02.tex	309	Li Daliang (1972), pp. 100-103	Li Daliang	1972	100-103	2	Li1972Kuei
tex/chapters/ch02.tex	319	Li Daliang (1972), pp. 166-169, 	Li Daliang	1972	166-169,	2	Li1972Kuei
tex/chapters/ch02.tex	449	Zhang Zongdong (1970), p. 71, 	Zhang Zongdong	1970	71,	2	Zhang1970Der
tex/chapters/ch02.tex	608	Li Daliang (1972), pp. 31-52, 	Li Daliang	1972	31-52,	2	Li1972Kuei
tex/chapters/ch02.tex	616	Li Daliang (1972), pp. 89-94	Li Daliang	1972	89-94	2	Li1972Kuei
tex/chapters/ch02.tex	632	Li Daliang (1972), pp. 8-30, 	Li Daliang	1972	8-30,	2	Li1972Kuei
tex/chapters/ch02.tex	678	Li Daliang (1972), p. 122, 	Li Daliang	1972	122,	2	Li1972Kuei
tex/chapters/ch02.tex	696	Britton (1937), p. 1, 	Britton	1937	1,	2	Britton1937Oracle
tex/chapters/ch02.tex	706	Britton (1937), p. 1	Britton	1937	1	2	Britton1937Oracle
tex/chapters/ch03.tex	177	Ya-nung (1955)	Ya-nung	1955		2	Yen1955Yilun
tex/chapters/ch03.tex	180	Zhang Zongdong (1970)	Zhang Zongdong	1970		2	Zhang1970Der
tex/chapters/ch03.tex	233	Mickel (1976)	Mickel	1976		3	Mickel1976Semantic
tex/chapters/ch03.tex	264	Huang Caijun (1964)	Huang Caijun	1964		2	Huang1964Measure
tex/chapters/ch03.tex	427	Wang (1972), p. 53 	Wang	1972	53	2	Wang1972The
tex/chapters/ch03.tex	497	CKWT (1965)	CKWT	1965		0	
tex/chapters/ch03.tex	639	Li Daliang (1972), pp. 134-169	Li Daliang	1972	134-169	2	Li1972Kuei
tex/chapters/ch03.tex	754	Li Daliang (1972), pp. 69-79, 	Li Daliang	1972	69-79,	2	Li1972Kuei
tex/chapters/ch03.tex	881	Zhang Zongdong (1970), pp. 34-45	Zhang Zongdong	1970	34-45	2	Zhang1970Der
tex/chapters/ch04.tex	86	Zhang Zongdong (1970), p. 21, 	Zhang Zongdong	1970	21,	2	Zhang1970Der
tex/chapters/ch04.tex	622	Zhang Zongdong (1970), p. 25	Zhang Zongdong	1970	25	2	Zhang1970Der
tex/chapters/ch05.tex	18	Barnard (1959)	Barnard	1959		2	Barnard1959aApproaches
tex/chapters/ch05.tex	401	Zhang Zongdong (1970), pp. 30-33	Zhang Zongdong	1970	30-33	2	Zhang1970Der
tex/chapters/ch05.tex	491	Mickel (1974)	Mickel	1974		2	Mickel1974Reduplicated
tex/chapters/ch05.tex	526	Zhang Zongdong (1970)	Zhang Zongdong	1970		2	Zhang1970Der
tex/chapters/ch05.tex	577	Mickel (1974)	Mickel	1974		2	Mickel1974Reduplicated
tex/chapters/ch05.tex	696	Zhang Zongdong (1970)	Zhang Zongdong	1970		2	Zhang1970Der
tex/chapters/ch05.tex	771	Zhang Zongdong (1970)	Zhang Zongdong	1970		2	Zhang1970Der
tex/chapters/ch05.tex	784	Mickel (1974)	Mickel	1974		2	Mickel1974Reduplicated
tex/chapters/ch05.tex	816	McDowell (1964)	McDowell	1964		0	
tex/frontmatter/preface.tex	165	Mickel (1977a)	Mickel	1977a		0	
tex/frontmatter/preface.tex	172	Chiang Hung (1976)	Chiang Hung	1976		2	Hung1976Panlongcheng
