file	line	raw	surname	year	pages	source_kind	term_key	term_category	candidate_count	candidate_key
tex/appendices/app01.tex	14	Ping (1930)	Ping	1930		plain			1	Ping1930Notes
tex/appendices/app01.tex	15	Lindholm (1931)	Lindholm	1931		plain			1	Lindholm1931Uber
tex/appendices/app01.tex	17	Pope (1935)	Pope	1935		plain			1	Pope1935Reptiles
tex/appendices/app01.tex	26	Wu (1943)	Wu	1943		plain			1	Wu1943Notes
tex/appendices/app01.tex	31	Auffenberg (1962)	Auffenberg	1962		plain			1	Auffenberg1962Status
tex/appendices/app01.tex	35	McDowell (1964)	McDowell	1964		plain			1	McDowell1964Partition
tex/appendices/app01.tex	43	Ting Su (1969)	Ting Su	1969		plain			1	Su1969Shuo
tex/appendices/app01.tex	52	Ting Su (1969)	Ting Su	1969		plain			1	Su1969Shuo
tex/appendices/app01.tex	68	Sokal (1965)	Sokal	1965		plain			1	THES1965Statistical
tex/appendices/app01.tex	87	Nakamura (1934)	Nakamura	1934		plain			1	Nakamura1934Clemmys
tex/appendices/app01.tex	87	Mao (1971)	Mao	1971		plain			1	Mao1971Turtles
tex/appendices/app01.tex	103	Wu (1943)	Wu	1943		plain			1	Wu1943Notes
tex/appendices/app01.tex	123	Smith (1931)	Smith	1931		plain			1	Smith1931Fauna
tex/appendices/app01.tex	123	Pritchard (1967)	Pritchard	1967		plain			1	Pritchard1967Living
tex/appendices/app01.tex	129	Bien (1937)	Bien	1937		plain			1	Bien1937Turtle
tex/appendices/app01.tex	130	McDowell (1964)	McDowell	1964		plain			1	McDowell1964Partition
tex/appendices/app01.tex	131	Mao (1971)	Mao	1971		plain			1	Mao1971Turtles
tex/appendices/app01.tex	131	Ping (1930)	Ping	1930		plain			1	Ping1930Notes
tex/appendices/app01.tex	131	Lindholm (1931)	Lindholm	1931		plain			1	Lindholm1931Uber
tex/appendices/app01.tex	132	Bien (1937)	Bien	1937		plain			1	Bien1937Turtle
tex/appendices/app02.tex	19	\pinyinterm{zhang-bingquan} (1954), p. 218	Zhang Bingquan	1954	218	pinyinterm	zhang-bingquan	person	1	Zhang1954Yin
tex/appendices/app02.tex	20	\pinyinterm{shi-zhangru} (1947), p. 45	Shi Zhangru	1947	45	pinyinterm	shi-zhangru	person	1	Shih1947Yinhsu
tex/appendices/app02.tex	22	\pinyinterm{zhou-hongxiang-tight} (1973), p. 177	Zhou Hongxiang	1973	177	pinyinterm	zhou-hongxiang-tight	person	1	Chou1973Computer
tex/appendices/app02.tex	25	\pinyinterm{hu-houxuan} (1944a), p. 5b	Hu Houxuan	1944a	5b	pinyinterm	hu-houxuan	person	1	Hu1944aYintai
tex/appendices/app02.tex	44	Tung (1933), p. 420	Tung	1933	420	plain			1	Tung1933Chia
tex/appendices/app02.tex	44	\pinyinterm{chen-mengjia} (1956), p. 8	Chen Mengjia	1956	8	pinyinterm	chen-mengjia	person	1	Chen1956Yin
tex/appendices/app02.tex	47	\pinyinterm{chen-mengjia} (1956), p. 8	Chen Mengjia	1956	8	pinyinterm	chen-mengjia	person	1	Chen1956Yin
tex/appendices/app02.tex	47	\pinyinterm{xu-jinxiong-tight} (1973a), pp. 26, 126	Xu Jinxiong	1973a	26, 126	pinyinterm	xu-jinxiong-tight	person	1	Hsu1973aPuku
tex/appendices/app02.tex	50	\pinyinterm{xu-jinxiong-tight} (1973a), pp. 2-3, 48-49	Xu Jinxiong	1973a	2-3, 48-49	pinyinterm	xu-jinxiong-tight	person	1	Hsu1973aPuku
tex/appendices/app02.tex	62	\pinyinterm{shi-zhangru} (1947), p. 45	Shi Zhangru	1947	45	pinyinterm	shi-zhangru	person	1	Shih1947Yinhsu
tex/appendices/app02.tex	63	\pinyinterm{hu-houxuan} (1944a), p. 5b	Hu Houxuan	1944a	5b	pinyinterm	hu-houxuan	person	1	Hu1944aYintai
tex/appendices/app02.tex	113	Tung (1949a), p. 259	Tung	1949a	259	plain			1	Tung1949aYin
tex/appendices/app02.tex	113	\pinyinterm{shi-zhangru} (1959), p. 322	Shi Zhangru	1959	322	pinyinterm	shi-zhangru	person	1	Shih1959Hsiao
tex/appendices/app02.tex	113	\pinyinterm{chen-mengjia} (1956), p. 156	Chen Mengjia	1956	156	pinyinterm	chen-mengjia	person	1	Chen1956Yin
tex/appendices/app02.tex	127	\pinyinterm{luo-zhenyu} (1914), p. 107b	Luo Zhenyu	1914	107b	pinyinterm	luo-zhenyu	person	1	Lo1914Yinhsu
tex/appendices/app02.tex	142	Hultkrantz (1968), p. 78	Hultkrantz	1968	78	plain			1	Hultkrantz1968La
tex/appendices/app03.tex	27	Tung (1953), p. 375	Tung	1953	375	plain			1	Tung1953Chia
tex/appendices/app03.tex	27	Tung (1953), p. 378	Tung	1953	378	plain			1	Tung1953Chia
tex/appendices/app03.tex	27	Jianshou (1917)	Jianshou	1917		plain			1	Chienshou1917Yinxu
tex/appendices/app03.tex	27	Fuyin (1925)	Fuyin	1925		plain			1	Fuyin1925Zhengwen
tex/appendices/app03.tex	27	Tung (1953), pp. 380, 381	Tung	1953	380, 381	plain			1	Tung1953Chia
tex/appendices/app03.tex	27	\pinyinterm{hu-houxuan} (1951), p. 65	Hu Houxuan	1951	65	pinyinterm	hu-houxuan	person	1	Hu1951Wushihnien
tex/appendices/app03.tex	27	\pinyinterm{chen-mengjia} (1956), p. 47	Chen Mengjia	1956	47	pinyinterm	chen-mengjia	person	1	Chen1956Yin
tex/appendices/app03.tex	27	\pinyinterm{zhang-bingquan} [1967], p. 831	Zhang Bingquan	1967	831	pinyinterm	zhang-bingquan	person	1	Zhang1967Kao
tex/appendices/app03.tex	33	Tung (1929b)	Tung	1929b		plain			1	Tung1929bHsin
tex/appendices/app03.tex	33	\pinyinterm{liu-yuanlin} (1974), p. 128	Liu Yuanlin	1974	128	pinyinterm	liu-yuanlin	person	1	Liu1974Puku
tex/appendices/app03.tex	33	\pinyinterm{shi-zhangru} (1959), pp. 320-323	Shi Zhangru	1959	320-323	pinyinterm	shi-zhangru	person	1	Shih1959Hsiao
tex/appendices/app03.tex	33	\pinyinterm{hu-houxuan} (1944a), pp. 4a-5b	Hu Houxuan	1944a	4a-5b	pinyinterm	hu-houxuan	person	1	Hu1944aYintai
tex/appendices/app03.tex	33	\pinyinterm{chen-mengjia} [1956], p. 655	Chen Mengjia	1956	655	pinyinterm	chen-mengjia	person	1	Chen1956Yin
tex/appendices/app03.tex	33	\pinyinterm{li-ji} [1933], p. 575	Li Ji	1933	575	pinyinterm	li-ji	person	1	LiChi1933Anyang
tex/appendices/app03.tex	33	\pinyinterm{hu-houxuan} [1944a], pp. 4b-5a	Hu Houxuan	1944a	4b-5a	pinyinterm	hu-houxuan	person	1	Hu1944aYintai
tex/appendices/app03.tex	33	\pinyinterm{hu-houxuan} [1944a], p. 4b	Hu Houxuan	1944a	4b	pinyinterm	hu-houxuan	person	1	Hu1944aYintai
tex/appendices/app03.tex	76	\pinyinterm{hu-houxuan} (1944a), pp. 11b-12b	Hu Houxuan	1944a	11b-12b	pinyinterm	hu-houxuan	person	1	Hu1944aYintai
tex/appendices/app03.tex	96	Tung (1945)	Tung	1945		plain			1	Tung1945Yin
