# Manual semantic placement of footnote markers.
# Format: scan<TAB>note_no<TAB>anchor_snippet
# anchor_snippet: a substring of the cleaned-with-notes markdown prose
#   (currently-placed FOOTNOTE/UNANCHORED sentinels are stripped before
#   matching).  The footnote sentinel is inserted IMMEDIATELY AFTER the
#   first occurrence of the snippet.
# Rationale for each placement: see comments above each row.
# 
# Comments must start with '#'.  Blank lines ignored.

# === Preface (scan 13) ===
# Note 3 cites Chang Kwang-chih on Shang vs Yin terminology.  Marker is
# at "...prior to P'an Keng's removal of the capital to Yin." in OCR
# (the missing superscript ³ was lost).
13	3	the capital to\nYin.

# === Chapter 1 page 4 (scan 21) ===
# Note 5 (Tsunoda 1951 / Yayoi scapulimancy): marker is the ° at
# "from Yamato\n\nJapan in the third century a.p.,°" — about scapulimancy
# in Japan; the ° in OCR == 5.  N.B. note 6 already MARK6'd at
# "the eighth century." which sits between this position and note 7 below.
21	5	in the third century a.p.,
# Note 10 (Rockhill 1900 / Wieger 1923): about Mongolia and Mangu.
# Marker '° at "...mid-thirteenth-century Mongolia at the court of
# Chinggis' grandson, Mangu.'°"
21	10	grandson, Mangu.
# Note 11 (Cooper 1936 p. 29): about Indians near Quebec.  Marker !!
# at "porcupines;!!".
21	11	Quebec cracking ‘‘un certain os\nplat” of porcupines;
# Note 12 (Cooper / Speck / Hultkrantz on diffusion): marker !* at
# "Mackenzie River in the west to Labrador in the east.!*"
21	12	in the west to Labrador in the east.

# === Chapter 1 page 20 (scan 37) ===
# Note 84 (Chang Ping-ch'üan 1956 etc on entoplastron hollows):
# marker is at the 84 position between MARK85 and following text.
# Looking at prose, MARK85 was placed at "those on the right side... vice versa.85"
# (OCR'd "vice versa.84" and parser placed note 85 there, but actual
# marker for 84 is right before that — at "...the order of Tung's table".
# Skip: too speculative.

# === Chapter 2 page 29 (scan 46) ===
# Note 2 (Hsiao-t'un site / ta-yi Shang): marker "?" (=²) at "tun.?"
# i.e. "...divination took place in the ritual center at Hsiao-\ntun.?"
46	2	tun.?
# Note 5 (Ping-pien 1.12 example): marker "?" (=⁵ misread) at end of
# first quoted divination — "Crack-making on the day hsin-yu, Ch'iieh⁶
# divined."⁵". OCR shows  divined."?" after Ch'iieh®.
# Order in OCR: Ch'iieh® (=⁶) then divined."?" (=⁵)... but that's reversed.
# Numbered order says 5 first.  Actually the FIRST superscripted ref on
# this page after MARK4 is the Ch'iieh-name-note.  Hmm — Keightley's note
# numbering might number the diviner-name note 6 because ⁵ comes at end
# of full quote (after Ch'iieh).  In that reading: divined."⁵ then later
# Ch'iieh⁶.  But OCR shows Ch'iieh® before divined."?".  The visual
# layout (Ch'iieh has its superscript right after the name; the .⁵ comes
# at end of the *quote*) means in source-order Ch'iieh⁶ ALMOST coincides
# with divined."⁵.  The text "divined" has the closer punct so I'll
